Year,Faculty,Programme,Job Type,Industry Type,Career Choice Rank,Was this job in the industry of your choice?,Salary range,Estimated Salary
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,2nd,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,3rd and above,Related,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,3rd and above,Related,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"Below RM1,500",1000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM1,501 - RM2,500",2000
