instant,dteday,season,yr,mnth,hr,holiday,weather,temp,humidity,windspeed,weekdayname,workday,usertype,numrentals
1,1/1/2011,winter,2011,1,0,no,clear,19.3,81,0,Saturday,no,casual,3
1,1/1/2011,winter,2011,1,0,no,clear,19.3,81,0,Saturday,no,registered,13
2,1/1/2011,winter,2011,1,1,no,clear,18.3,80,0,Saturday,no,casual,8
2,1/1/2011,winter,2011,1,1,no,clear,18.3,80,0,Saturday,no,registered,32
3,1/1/2011,winter,2011,1,2,no,clear,18.3,80,0,Saturday,no,casual,5
3,1/1/2011,winter,2011,1,2,no,clear,18.3,80,0,Saturday,no,registered,27
4,1/1/2011,winter,2011,1,3,no,clear,19.3,75,0,Saturday,no,casual,3
4,1/1/2011,winter,2011,1,3,no,clear,19.3,75,0,Saturday,no,registered,10
5,1/1/2011,winter,2011,1,4,no,clear,19.3,75,0,Saturday,no,casual,0
5,1/1/2011,winter,2011,1,4,no,clear,19.3,75,0,Saturday,no,registered,1
6,1/1/2011,winter,2011,1,5,no,misty,19.3,75,6,Saturday,no,casual,0
6,1/1/2011,winter,2011,1,5,no,misty,19.3,75,6,Saturday,no,registered,1
7,1/1/2011,winter,2011,1,6,no,clear,18.3,80,0,Saturday,no,casual,2
7,1/1/2011,winter,2011,1,6,no,clear,18.3,80,0,Saturday,no,registered,0
8,1/1/2011,winter,2011,1,7,no,clear,17.4,86,0,Saturday,no,casual,1
8,1/1/2011,winter,2011,1,7,no,clear,17.4,86,0,Saturday,no,registered,2
9,1/1/2011,winter,2011,1,8,no,clear,19.3,75,0,Saturday,no,casual,1
9,1/1/2011,winter,2011,1,8,no,clear,19.3,75,0,Saturday,no,registered,7
10,1/1/2011,winter,2011,1,9,no,clear,23,76,0,Saturday,no,casual,8
10,1/1/2011,winter,2011,1,9,no,clear,23,76,0,Saturday,no,registered,6
11,1/1/2011,winter,2011,1,10,no,clear,25.9,76,17,Saturday,no,casual,12
11,1/1/2011,winter,2011,1,10,no,clear,25.9,76,17,Saturday,no,registered,24
12,1/1/2011,winter,2011,1,11,no,clear,24.9,81,19,Saturday,no,casual,26
12,1/1/2011,winter,2011,1,11,no,clear,24.9,81,19,Saturday,no,registered,30
13,1/1/2011,winter,2011,1,12,no,clear,27.7,77,19,Saturday,no,casual,29
13,1/1/2011,winter,2011,1,12,no,clear,27.7,77,19,Saturday,no,registered,55
14,1/1/2011,winter,2011,1,13,no,misty,29.6,72,20,Saturday,no,casual,47
14,1/1/2011,winter,2011,1,13,no,misty,29.6,72,20,Saturday,no,registered,47
15,1/1/2011,winter,2011,1,14,no,misty,29.6,72,19,Saturday,no,casual,35
15,1/1/2011,winter,2011,1,14,no,misty,29.6,72,19,Saturday,no,registered,71
16,1/1/2011,winter,2011,1,15,no,misty,28.7,77,20,Saturday,no,casual,40
16,1/1/2011,winter,2011,1,15,no,misty,28.7,77,20,Saturday,no,registered,70
17,1/1/2011,winter,2011,1,16,no,misty,27.7,82,20,Saturday,no,casual,41
17,1/1/2011,winter,2011,1,16,no,misty,27.7,82,20,Saturday,no,registered,52
18,1/1/2011,winter,2011,1,17,no,misty,28.7,82,19,Saturday,no,casual,15
18,1/1/2011,winter,2011,1,17,no,misty,28.7,82,19,Saturday,no,registered,52
19,1/1/2011,winter,2011,1,18,no,light rain,27.7,88,17,Saturday,no,casual,9
19,1/1/2011,winter,2011,1,18,no,light rain,27.7,88,17,Saturday,no,registered,26
20,1/1/2011,winter,2011,1,19,no,light rain,27.7,88,17,Saturday,no,casual,6
20,1/1/2011,winter,2011,1,19,no,light rain,27.7,88,17,Saturday,no,registered,31
21,1/1/2011,winter,2011,1,20,no,misty,26.8,87,17,Saturday,no,casual,11
21,1/1/2011,winter,2011,1,20,no,misty,26.8,87,17,Saturday,no,registered,25
22,1/1/2011,winter,2011,1,21,no,misty,26.8,87,13,Saturday,no,casual,3
22,1/1/2011,winter,2011,1,21,no,misty,26.8,87,13,Saturday,no,registered,31
23,1/1/2011,winter,2011,1,22,no,misty,26.8,94,15,Saturday,no,casual,11
23,1/1/2011,winter,2011,1,22,no,misty,26.8,94,15,Saturday,no,registered,17
24,1/1/2011,winter,2011,1,23,no,misty,29.6,88,20,Saturday,no,casual,15
24,1/1/2011,winter,2011,1,23,no,misty,29.6,88,20,Saturday,no,registered,24
25,1/2/2011,winter,2011,1,0,no,misty,29.6,88,20,Sunday,no,casual,4
25,1/2/2011,winter,2011,1,0,no,misty,29.6,88,20,Sunday,no,registered,13
26,1/2/2011,winter,2011,1,1,no,misty,28.7,94,17,Sunday,no,casual,1
26,1/2/2011,winter,2011,1,1,no,misty,28.7,94,17,Sunday,no,registered,16
27,1/2/2011,winter,2011,1,2,no,misty,27.7,100,19,Sunday,no,casual,1
27,1/2/2011,winter,2011,1,2,no,misty,27.7,100,19,Sunday,no,registered,8
28,1/2/2011,winter,2011,1,3,no,misty,29.6,94,13,Sunday,no,casual,2
28,1/2/2011,winter,2011,1,3,no,misty,29.6,94,13,Sunday,no,registered,4
29,1/2/2011,winter,2011,1,4,no,misty,29.6,94,13,Sunday,no,casual,2
29,1/2/2011,winter,2011,1,4,no,misty,29.6,94,13,Sunday,no,registered,1
30,1/2/2011,winter,2011,1,6,no,light rain,27.7,77,20,Sunday,no,casual,0
30,1/2/2011,winter,2011,1,6,no,light rain,27.7,77,20,Sunday,no,registered,2
31,1/2/2011,winter,2011,1,7,no,misty,26.8,76,13,Sunday,no,casual,0
31,1/2/2011,winter,2011,1,7,no,misty,26.8,76,13,Sunday,no,registered,1
32,1/2/2011,winter,2011,1,8,no,light rain,26.8,71,15,Sunday,no,casual,0
32,1/2/2011,winter,2011,1,8,no,light rain,26.8,71,15,Sunday,no,registered,8
33,1/2/2011,winter,2011,1,9,no,misty,25.9,76,15,Sunday,no,casual,1
33,1/2/2011,winter,2011,1,9,no,misty,25.9,76,15,Sunday,no,registered,19
34,1/2/2011,winter,2011,1,10,no,misty,24.9,81,15,Sunday,no,casual,7
34,1/2/2011,winter,2011,1,10,no,misty,24.9,81,15,Sunday,no,registered,46
35,1/2/2011,winter,2011,1,11,no,misty,24.9,71,17,Sunday,no,casual,16
35,1/2/2011,winter,2011,1,11,no,misty,24.9,71,17,Sunday,no,registered,54
36,1/2/2011,winter,2011,1,12,no,misty,24.9,66,20,Sunday,no,casual,20
36,1/2/2011,winter,2011,1,12,no,misty,24.9,66,20,Sunday,no,registered,73
37,1/2/2011,winter,2011,1,13,no,misty,24.9,66,9,Sunday,no,casual,11
37,1/2/2011,winter,2011,1,13,no,misty,24.9,66,9,Sunday,no,registered,64
38,1/2/2011,winter,2011,1,14,no,light rain,24.9,76,13,Sunday,no,casual,4
38,1/2/2011,winter,2011,1,14,no,light rain,24.9,76,13,Sunday,no,registered,55
